,x,y,name,description,accreditation
0,146.9254257,-36.0752574,Albury: School Zone RLSC,Variable Speed Limit Enforced.,
1,151.2011517,-33.9014752,Alexandria: Red-Light Speed Cameras,,
2,151.202838,-33.905526,Alexandria: Red-Light Speed Camera,,
3,151.122571,-33.978499,Allawah: Red-Light Speed Camera,,
4,151.1174803,-33.8884728,Ashfield: Red-Light Speed Camera,,
5,151.0214619,-33.8481914,Auburn: Red-Light Speed Camera,,
6,151.0333228,-33.849216,Auburn: Red-Light Speed Camera,,
7,151.0346769,-33.8499838,Auburn: Red-Light Speed Camera,,
8,151.2146643,-33.9618466,Banksmeadow: Red-Light Speed Cameras,,
9,151.033325,-33.907354,Bankstown: School Zone RLSC,Variable Speed Limit Enforced.,
10,151.04012,-33.906121,Bankstown: Red-Light Speed Camera,,
11,150.9964398,-33.8989837,Bass Hill: Red-Light Speed Camera,,
12,149.5729169,-33.4151156,Bathurst: Red-Light Speed Camera,,
13,149.5851002,-33.4175312,Bathurst: Red-Light Speed Camera,,
14,150.992891,-33.761912,Baulkham Hills: Red-Light Speed Cameras,,
15,151.197568,-33.911546,Beaconsfield: Red-Light Speed Camera,,
16,151.083595,-33.902145,Belfield: Red-Light Speed Camera,,
17,151.098562,-33.929325,Belmore: Red-Light Speed Camera,,
18,151.127873,-33.948211,Bexley: Red-Light Speed Camera,,
19,151.131843,-33.952823,Bexley: Red-Light Speed Camera,,
20,150.8971203,-33.798158,Blacktown: Red-Light Speed Camera,,
21,150.9015786,-33.7765792,Blacktown: Red-Light Speed Camera,,
22,150.892408,-33.769152,Blacktown: School Zone RLSC,Variable Speed Limit Enforced.,
23,150.908042,-33.773422,Blacktown: School Zone RLSC,Variable Speed Limit Enforced.,
24,150.919112,-33.7926928,Blacktown: Red-Light Speed Camera,Prospect Highway / Blacktown Road,
25,150.91161,-33.771875,Blacktown: Red-Light Speed Camera,,
26,150.9052661,-33.7668378,Blacktown: Red-Light Speed Camera,,
27,150.911044,-33.765594,Blacktown: Red-Light Speed Camera,,
28,151.1092186,-33.9834118,Blakehurst: Red-Light Speed Camera,,
29,151.2534921,-33.8909801,Bondi Junction: Red-Light Speed Camera,,
30,151.105418,-33.868908,Burwood: Red-Light Speed Cameras,,
31,151.103696,-33.877435,Burwood: Red-Light Speed Camera,,
32,150.919171,-33.899445,Cabramatta West: Red-Light Speed Cameras,,
33,150.81962,-34.06657,Campbelltown: Red-Light Speed Cameras,,
34,150.805555,-34.072193,Campbelltown: Red-Light Speed Cameras,,
35,150.808342,-34.074904,Campbelltown: Red-Light Speed Camera,,
36,151.10442,-33.918239,Campsie: Red-Light Speed Camera,,
37,151.099638,-33.920186,Campsie: Red-Light Speed Camera,,
38,150.9238136,-33.8836387,Canley Heights: School Zone RLSC,,
39,150.922894,-33.888277,Canley Heights: Red-Light Speed Camera,,
40,150.937021,-33.885509,Canley Vale: Red-Light Speed Camera,,
41,151.132919,-34.045677,Caringbah: Red-Light Speed Camera,,
42,150.976865,-33.724915,Castle Hill: Red-Light Speed Camera,,
43,151.004191,-33.731204,Castle Hill: Red-Light Speed Camera,,
44,151.6866446,-32.9567081,Charlestown: Red-Light Speed Camera,,
45,151.006726,-33.883728,Chester Hill: Red-Light Speed Cameras,,
46,151.1985978,-33.8843445,Chippendale: Red-Light Speed Camera,,
47,151.0387301,-33.8917256,Chullora: Red-Light Speed Camera,,
48,151.0538675,-33.8940975,Chullora/Greenacre: Red-Light Speed Camera,,
49,150.7579001,-33.7683334,Claremont Meadows: Red-Light Speed Camera,,
50,153.1266609,-30.2836728,Coffs Harbour: Red-Light Speed Camera,Pacific Highway / Bray Street.,
51,153.110624,-30.3007834,Coffs Harbour: Red-Light Speed Camera,,
52,151.106013,-33.861634,Concord: Red-Light Speed Camera,,
53,151.014054,-33.916129,Condell Park: Red-Light Speed Camera,,
54,150.875883,-34.446087,Coniston: Red-Light Speed Cameras,"All lanes monitored, additional cameras installed for Right-Turn.",
55,150.9006775,-34.3735603,Corrimal: Red-Light Speed Camera,,
56,151.199234,-33.826128,Crows Nest: Red-Light Speed Camera,,
57,151.111131,-33.894669,Croydon Park: Red-Light Speed Camera,,
58,151.2151976,-33.8792117,Darlinghurst: Red-Light Speed Cameras,,
59,151.280593,-33.758583,Dee Why: Red-Light Speed Camera,,
